"Protein_id","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","symbol","UniProt","label"
"DTD1_Q8TEA8_MS",0.0524115081289387,1.87060304578028,0.477341416981529,0.00500506624318875,0.38,0.427130892228061,0,0.43213595847125,0,0.0115821563678593,0.38,-0.0116844983931148,0.0445837475434226,0.57,0,0.57,"DTD1","Q8TEA8","DTD1"
"DYNLL2_Q96FJ2_MS",0.0446051859258652,1.87871466546354,0.32299939501159,0.00287894598404495,0.654,0.429128197870047,0,0.432007143854092,0,0.00666411661242644,0.654,-0.0236760508183751,0.038500289701313,0.775674418604651,0,0.775674418604651,"DYNLL2","Q96FJ2","DYNLL2"
"ENO1_P06733_MS",0.10152779995312,1.66747144561358,3.62228589214505,0.072869917356199,0,0.358721199260873,0,0.431591116617072,0,0.168840169666543,0,0.0966711983285101,0.273365678329993,0,0,0,"ENO1","P06733","ENO1"
"ENO2_P09104_MS",0.0736319006570322,1.78503977983428,1.91443805772766,0.0284317204590574,0.004,0.403824384925267,0,0.432256105384324,0,0.0657751738029898,0.004,0.0172297519692879,0.128680086137751,0.0145714285714286,0,0.0145714285714286,"ENO2","P09104","ENO2"
"ENOPH1_Q9UHY7_MS",0.0910363889529243,1.78584347752604,1.94892367828508,0.0354305792794442,0,0.398110245522528,0,0.433540824801973,0,0.0817237437688313,0,0.0344362399874169,0.153349510688642,0,0,0,"ENOPH1","Q9UHY7","ENOPH1"
"FABP3_P05413_MS",0.151599572966744,1.61678696219649,2.64834187728686,0.0803692998861046,0,0.349703963196801,0,0.430073263082905,0,0.186873509201644,0,0.108875374967326,0.289614690174639,0,0,0,"FABP3","P05413","FABP3"
"FDPS_P14324_MS",0.0612120070732454,1.84494208644555,1.28564983292752,0.0156846189264571,0.008,0.415662780751127,0,0.431347399677584,0,0.0363619183474404,0.008,0.00813426472377975,0.0812366402197052,0.0255,0,0.0255,"FDPS","P14324","FDPS"
"FKBP1A_P62942_MS",0.119643879576364,1.78360845888598,1.05087465342246,0.0254390494551781,0.048,0.405418000149572,0,0.43085704960475,0,0.0590428994454535,0.048,0.00081121016457066,0.129287221921729,0.1088,0,0.1088,"FKBP1A","P62942","FKBP1A"
"GABARAPL2_P60520_MS",0.0511082032606846,1.85252111482016,0.953786294689267,0.00976620551642433,0.192,0.421885338196382,0,0.431651543712807,0,0.0226252069723215,0.192,-0.0115403189746727,0.0599819592135636,0.315870967741936,0,0.315870967741936,"GABARAPL2","P60520","GABARAPL2"
"GAP43_P17677_MS",0.100595882201767,1.80110488750238,1.08950335779114,0.0221179973888993,0.016,0.409473235364241,0,0.431591232753141,0,0.0512475595201682,0.016,0.0059097302553161,0.113957929678753,0.0441081081081081,0,0.0441081081081081,"GAP43","P17677","GAP43"
"GDA_Q9Y2T3_MS",0.118165898762272,1.78340809467249,1.12247511752918,0.0268188025733575,0.02,0.404950119772023,0,0.43176892234538,0,0.0621137862995721,0.02,0.0111998604293107,0.130331620666616,0.051,0,0.051,"GDA","Q9Y2T3","GDA"
"GDI1_P31150_MS",0.0783179596851763,1.63377595534149,4.71313495882042,0.0740818286435127,0,0.355667423480625,0,0.429749252124138,0,0.172383845410657,0,0.0981012079359095,0.259838924970888,0,0,0,"GDI1","P31150","GDI1"
"GGCT_O75223_MS",0.0763782884957712,1.87050834570657,0.299186401989254,0.00457358628332987,0.644,0.427417816218024,0,0.431991402501354,0,0.010587215988206,0.644,-0.0301632401070364,0.053079917375644,0.7728,0,0.7728,"GGCT","O75223","GGCT"
"GLO1_Q04760_MS",0.0876481849263955,1.80668084164709,1.68988081027347,0.0294613491602077,0,0.402095095245086,0,0.431556444405294,0,0.0682676612576296,0,0.021353425706333,0.142823080629652,0,0,0,"GLO1","Q04760","GLO1"
"GLOD4_Q9HC38_MS",0.0971647610695944,1.7769435430357,1.4384713944681,0.0282626660319241,0.018,0.402796845313753,0,0.431059511345677,0,0.065565578042099,0.018,0.00807190805167169,0.139836103327584,0.0470769230769231,0,0.0470769230769231,"GLOD4","Q9HC38","GLOD4"
"GMFB_P60983_MS",0.0695222700524087,1.87977731534059,0.184225008975727,0.0025584727625049,0.77,0.429264657272654,0,0.431823130035159,0,0.00592481639947492,0.77,-0.0386160085411411,0.056174419970653,0.844516129032258,0,0.844516129032258,"GMFB","P60983","GMFB"
"GOT1_P17174_MS",0.0710628906537073,1.92882623984468,-0.473523862929121,-0.00665148924052056,0.424,0.438734596630314,0,0.432083107389794,0,-0.0153940043634246,0.424,-0.0560487131844317,0.0228580435980266,0.6035,0,0.6035,"GOT1","P17174","GOT1"
"GPI_P06744_MS",0.0786111432835812,1.78657470424879,2.2441342360653,0.035129101644281,0,0.396360874060926,0,0.431489975705207,0,0.081413482635066,0,0.0343210874060837,0.146143179348131,0,0,0,"GPI","P06744","GPI"
"GSR_P00390_MS",0.0838973406038511,1.92576662018568,-0.368844189785473,-0.00611969389872947,0.46,0.43802240224864,0,0.431902708349911,0,-0.0141691491634999,0.46,-0.0628464700409795,0.0208742218769372,0.609350649350649,0,0.609350649350649,"GSR","P00390","GSR"
"HDHD2_Q9H0R4_MS",0.0802774374225802,1.9113541447528,0.226683936148453,0.00360646727595384,0.67,0.434495716378451,0,0.438102183654405,0,0.00823202305423519,0.67,-0.0259365523234444,0.0419583584909745,0.78551724137931,0,0.78551724137931,"HDHD2","Q9H0R4","HDHD2"
"HPCAL1_P37235_MS",0.109537828182587,1.92524313171488,-0.275995526136113,-0.00597784960672288,0.444,0.437737937074653,0,0.43176008746793,0,-0.013845303862569,0.444,-0.0571883474260304,0.0215580817486209,0.609350649350649,0,0.609350649350649,"HPCAL1","P37235","HPCAL1"
"HPRT1_P00492_MS",0.123084911619866,1.80620201755948,0.773112958042945,0.0192431818486041,0.128,0.412591119371218,0,0.431834301219822,0,0.0445614945228923,0.128,-0.0126411083236778,0.112157475947705,0.237381818181818,0,0.237381818181818,"HPRT1","P00492","HPRT1"
"HSP90AA1_P07900_MS",0.0457568703004931,1.83746792522398,1.43321249866289,0.0131441117565364,0.042,0.41698805466643,0,0.430132166422967,0,0.0305583092421209,0.042,0.000943897336904751,0.0749362041661703,0.0996279069767442,0,0.0996279069767442,"HSP90AA1","P07900","HSP90AA1"
"HSPA2_P54652_MS",0.0805110849655922,1.85193533605278,0.547237487372379,0.00884511509166789,0.228,0.423151543568759,0,0.431996658660427,0,0.0204749618182131,0.228,-0.013740231817965,0.0703200285770464,0.357784615384615,0,0.357784615384615,"HSPA2","P54652","HSPA2"
"HSPA8_P11142_MS",0.0649898812846638,1.88205656964261,0.164298377543741,0.00213222512090717,0.72,0.429811582391338,0,0.431943807512245,0,0.00493634839491646,0.72,-0.0263076350930317,0.0491985308229926,0.807032967032967,0,0.807032967032967,"HSPA8","P11142","HSPA8"
