"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","p_adjusted","symbol","UniProt","label"
"LDLRAD3_Q86YD5_MS",0.0407573595748887,0.0420886398235305,0.0598593758473989,0.680885141181434,0.496540927129368,0.0145446400186604,-0.00411928725371347,264,-0.077105182620784,0.158619901770561,351.292699225338,0.712765132276482,"LDLRAD3","Q86YD5","LDLRAD3"
"LECT2_O14960_MS",0.00955135570229157,0.00740197226657803,0.0784829206147191,0.121699799491155,0.903227633931713,0.0293914546859698,0.011350403657828,269,-0.144967542995864,0.164070254400447,503.629353295879,0.967778047156054,"LECT2","O14960","LECT2"
"LEFTY2_O00292_MS",0.0950783579896897,0.0838581031668789,0.0689807741852124,1.37833126857065,0.169254889927863,0.0343470318945125,0.0162636429786793,267,-0.0407371034713191,0.230893819450698,429.120833531775,0.393931649661081,"LEFTY2","O00292","LEFTY2"
"LFNG_Q8NES3_MS",-0.00894445988205534,-0.0168822718541367,0.0195567976456776,-0.457358103515082,0.647777423426732,0.636758313012068,0.630105534862106,273,-0.0474457635171333,0.0295568437530226,-257.197036370519,0.816885672906982,"LFNG","Q8NES3","LFNG"
"LGALS1_P09382_MS",0.0644970315284891,0.133401269794925,0.019030032816826,3.38922334760568,0.000804324518892264,0.586984633795677,0.579420249799261,273,0.0270327653975743,0.101961297659404,-272.432961807067,0.00974822051639486,"LGALS1","P09382","LGALS1"
"LGALS3_P17931_MS",-0.00943945072311114,-0.0186868709982956,0.0271907694921458,-0.34715643946148,0.728742245031115,0.229649569063791,0.215488715553934,272,-0.0629705670505192,0.044091665604297,-73.2192577653308,0.869678245249396,"LGALS3","P17931","LGALS3"
"LGALS3BP_Q08380_MS",0.0531772172956654,0.109434312243451,0.0213883565669403,2.48626943960065,0.0135072821951855,0.483515486424514,0.474056063098955,273,0.0110701389611364,0.0952842956301944,-207.242780162348,0.0745552172403697,"LGALS3BP","Q08380","LGALS3BP"
"LGI1_O95970_MS",0.102261800844447,0.198413715360602,0.022951538670435,4.4555531684756,1.22207197899942e-05,0.471327427449469,0.461644779600558,273,0.0570772990025541,0.14744630268634,-167.882414107945,0.000449722488271786,"LGI1","O95970","LGI1"
"LGI3_Q8N145_MS",-0.00400225065007512,-0.00289586170843269,0.08713683130077,-0.0459306425346196,0.9634024937718,0.0324632592089327,0.0129564700800805,248,-0.175624832114196,0.167620330814046,501.282966429252,0.984482985067503,"LGI3","Q8N145","LGI3"
"LGMN_Q99538_MS",0.1202207672135,0.193207724392868,0.0362596786834559,3.31554971192707,0.0010384875371317,0.0947166250467788,0.078136343454229,273,0.0488366416529105,0.19160489277409,87.3029076205019,0.0114857856565823,"LGMN","Q99538","LGMN"
"LHPP_Q9H008_MS",0.0375900139132364,0.0620222477272351,0.0297633022093138,1.26296516592414,0.207679323506765,0.357077063305086,0.345301917944373,273,-0.0210047497236744,0.0961847775501471,-22.86313208501,0.447283185630891,"LHPP","Q9H008","LHPP"
"LIFR_P42702_MS",0.0111235047637642,0.00740902540591791,0.09589605976454,0.115995430793262,0.907755223753601,0.0752666896139944,0.0555915127972709,235,-0.177802287510219,0.200049297037748,505.503867781457,0.968017161684557,"LIFR","P42702","LIFR"
"LILRA2_Q8N149_MS",-0.00143080061780669,-0.0024230515484882,0.0329368519168979,-0.0434407217003225,0.965381972925768,0.170573502874997,0.155382541389191,273,-0.0662733049690422,0.0634117037334288,33.6711874429239,0.984482985067503,"LILRA2","Q8N149","LILRA2"
"LILRB4_Q8NHJ6_MS",-0.00346065206940409,-0.0059566305115698,0.0301090954624306,-0.114937098449942,0.908579469976142,0.283976086815329,0.27086209573136,273,-0.0627361759859077,0.0558148718470995,-16.4175983101806,0.968302734659026,"LILRB4","Q8NHJ6","LILRB4"
"LINGO1_Q96FE5_MS",-0.0441309610520249,-0.0563261389328368,0.0314025385777522,-1.40533100350334,0.161059818022849,0.571738167445981,0.563894544139131,273,-0.105952875590344,0.0176909534862942,7.05268249277761,0.382140035434385,"LINGO1","Q96FE5","LINGO1"
"LINGO3_P0C6S8_MS",-0.0558917953003215,-0.0828149412828851,0.0288126238162199,-1.93983705395333,0.0534293490697847,0.514114927362691,0.505215933358345,273,-0.112614966351628,0.000831375750984985,-40.977233359456,0.193399968806281,"LINGO3","P0C6S8","LINGO3"
"LIPA_P38571_MS",0.161687489739721,0.20113628415266,0.0414239481238508,3.90323706606387,0.000119641937087558,0.292090649979643,0.279125277268647,273,0.0801365102094613,0.243238469269982,161.602185008371,0.00236699207645134,"LIPA","P38571","LIPA"
"LIPG_Q9Y5X9_MS",0.185305983098849,0.160999713845084,0.0701746928817243,2.6406383197312,0.0087642698246878,0.0397768853572727,0.0217275786910559,266,0.047137463694252,0.323474502503447,429.475270997006,0.0535917888977889,"LIPG","Q9Y5X9","LIPG"
"LMAN1_P49257_MS",-0.0121863456683654,-0.0217892859505646,0.0183962872508182,-0.662435061065021,0.508251280994219,0.711566275777967,0.706283606836172,273,-0.0484029622143981,0.0240302708776673,-291.332165895585,0.719371043868741,"LMAN1","P49257","LMAN1"
"LMAN2_Q12907_MS",-0.0253043720852002,-0.040814321927179,0.0151518426981648,-1.67005245429753,0.0960550995563904,0.840774871056299,0.837858659903484,273,-0.0551336778295338,0.00452493365913339,-399.599069856227,0.282992025476178,"LMAN2","Q12907","LMAN2"
"LNPEP_Q9UIQ6_MS",0.0850423707810524,0.107715060660976,0.0461789781870158,1.84158190847462,0.0666496155378078,0.109956225288515,0.0932260791473218,266,-0.00588045027740418,0.175965191839509,212.391705673723,0.225583314127965,"LNPEP","Q9UIQ6","LNPEP"
"LOXL1_Q08397_MS",-0.0207651330604953,-0.036959250957737,0.0328248163938799,-0.632604697961597,0.527527184501043,0.101137312228264,0.0844917068991581,270,-0.0853902712204914,0.0438600050995009,24.6923277078426,0.733320756476724,"LOXL1","Q08397","LOXL1"
"LOXL3_P58215_MS",0.0330030063149094,0.052706702153056,0.0360864438146887,0.914554132415669,0.36123279513541,0.1145592288157,0.0983423648745959,273,-0.038040073211282,0.104046085841101,84.6306084512717,0.606184497331323,"LOXL3","P58215","LOXL3"
"LPA_P08519_MS",-0.0716895467700013,-0.0838301724837684,0.0507477281773765,-1.4126651447219,0.158893201730572,0.0612089905216353,0.0440150159890645,273,-0.171596173956452,0.0282170804164493,274.880471148557,0.378991856649072,"LPA","P08519","LPA"
"LPL_P06858_MS",0.0195594412604826,0.0276022445035979,0.0352588688022442,0.554738195663205,0.579527940443496,0.339976619945712,0.327888279651678,273,-0.0498543982739573,0.0889732807949225,71.6849066854604,0.770673161273085,"LPL","P06858","LPL"
"LRFN2_Q9ULH4_MS",-0.0898764044586472,-0.124970296670936,0.0333514714684904,-2.69482576034344,0.00747932384692021,0.426677635784508,0.416177226183491,273,-0.155535166846506,-0.0242176420707884,40.6516242720146,0.0468673420005155,"LRFN2","Q9ULH4","LRFN2"
