"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","p_adjusted","symbol","UniProt","label"
"FAM174A_Q8TBP5_MS",-0.00536234729703588,-0.00482632526653604,0.0416121419566558,-0.128864966927716,0.897559036559574,0.61719872756082,0.611610387817183,274,-0.0872824912219094,0.0765577966278376,3.64329852675986,0.999885049473507,"FAM174A","Q8TBP5","FAM174A"
"FAM177A1_Q8N128_MS",0.00913829738146264,0.00650580554495608,0.0883497322311007,0.103433221026173,0.917704108718603,0.0373746120038577,0.0215938679383472,244,-0.164887173402299,0.183163768165224,357.923181154471,0.999885049473507,"FAM177A1","Q8N128","FAM177A1"
"FAM19A1_Q7Z5A9_MS",-0.0313329037482515,-0.0363971185928321,0.039623464792364,-0.790766378267096,0.429764242714095,0.421840658646343,0.413400376290815,274,-0.109338019225693,0.0466722117291899,-23.6822463890689,0.999885049473507,"FAM19A1","Q7Z5A9","FAM19A1"
"FAM19A2_Q8N3H0_MS",0.00975177319823053,0.00828363862643725,0.0424272090145108,0.229847152917725,0.818382036386931,0.645534507305914,0.640359828580453,274,-0.0737729603379506,0.0932765067344116,14.4673154687454,0.999885049473507,"FAM19A2","Q8N3H0","FAM19A2"
"FAM19A5_Q7Z5A7_MS",-0.0346486591471602,-0.0400960420173103,0.027646148161372,-1.25329065535329,0.211168347033521,0.720675302755254,0.716597569948761,274,-0.0890745149155804,0.01977719662126,-224.526019229589,0.999885049473507,"FAM19A5","Q7Z5A7","FAM19A5"
"FAM20A_Q96MK3_MS",-0.0623951027805896,-0.0619393021253538,0.0610463115619083,-1.02209455713493,0.307651052123011,0.0124703435424246,-0.00215972544213217,270,-0.182582410807149,0.0577922052459696,213.806918167025,0.999885049473507,"FAM20A","Q96MK3","FAM20A"
"FAM20B_O75063_MS",0.0240142166540235,0.0355410187592542,0.0288225342865394,0.833175057241184,0.405471680509334,0.503410930754612,0.496161455291176,274,-0.0327275429865242,0.0807559762945711,-201.273539604991,0.999885049473507,"FAM20B","O75063","FAM20B"
"FAM20C_Q8IXL6_MS",0.0255191911062797,0.0495634711500076,0.0192348335175657,1.32671754517526,0.185706764953569,0.619130308070808,0.613570166582791,274,-0.0123476491003907,0.06338603131295,-426.948069124178,0.999885049473507,"FAM20C","Q8IXL6","FAM20C"
"FAM234A_Q9H0X4_MS",-0.100358734630793,-0.0975405753203508,0.0577343668886155,-1.73828414580887,0.0833007693855668,0.153094328501874,0.140547577813013,270,-0.21402552234365,0.0133080530820651,183.195115583067,0.999885049473507,"FAM234A","Q9H0X4","FAM234A"
"FAM234B_A2RU67_MS",-0.0222628021070496,-0.0248976358537969,0.0374710294947991,-0.594133718961195,0.552912897024147,0.520754822719906,0.513758542759613,274,-0.0960305051112478,0.0515049008971487,-54.8484438310099,0.999885049473507,"FAM234B","A2RU67","FAM234B"
"FAM241B_Q96D05_MS",-0.14966731226985,-0.08849811370913,0.0967634175008219,-1.54673445952421,0.123081480250059,0.106598995233565,0.093556644799019,274,-0.340161545818,0.0408269212783003,474.526667782731,0.999885049473507,"FAM241B","Q96D05","FAM241B"
"FAM3A_P98173_MS",-0.00887546442270099,-0.0108845402656637,0.0308575282929327,-0.287627198732367,0.773849544463134,0.609185914095335,0.60348059897264,274,-0.0696234346078449,0.0518725057624429,-163.204978478217,0.999885049473507,"FAM3A","P98173","FAM3A"
"FAM3B_P58499_MS",-0.0685087771236297,-0.0486926993972233,0.0810743746325653,-0.845011477845081,0.398869579028649,0.12650301328472,0.113268210455701,264,-0.22814345031967,0.091125896072411,361.084039870933,0.999885049473507,"FAM3B","P58499","FAM3B"
"FAM3C_Q92520_MS",0.01858396112409,0.0154259029103388,0.0343997458086033,0.540235419979243,0.589473517666194,0.777492318493775,0.774244031172516,274,-0.0491374296794686,0.0863053519276486,-102.567997025919,0.999885049473507,"FAM3C","Q92520","FAM3C"
"FAM49B_Q9NUQ9_MS",0.0395856474022688,0.0622797052445874,0.030761965333548,1.2868373971899,0.199237066110049,0.36077216085414,0.351440367581938,274,-0.0209741918427558,0.100145486647293,-164.93573512516,0.999885049473507,"FAM49B","Q9NUQ9","FAM49B"
"FAT1_Q14517_MS",0.0180814563484551,0.0201351231530564,0.0504904131459945,0.358116624955555,0.72053177152912,0.137280636602603,0.124686193341327,274,-0.081316981637615,0.117479894334525,111.55574488465,0.999885049473507,"FAT1","Q14517","FAT1"
"FAT2_Q9NYQ8_MS",-0.0059451053773596,-0.00570767149853032,0.0428080576023135,-0.138878185798328,0.889648425565553,0.539043651075187,0.532314361309862,274,-0.0902196001529136,0.0783293893981944,19.453864692156,0.999885049473507,"FAT2","Q9NYQ8","FAT2"
"FAT3_Q8TDW7_MS",-0.084833690786813,-0.0599571253817258,0.0846068030410664,-1.00268167260305,0.316936101125495,0.0651998281650436,0.0509823350572878,263,-0.251426598936788,0.0817592173631623,376.016934517733,0.999885049473507,"FAT3","Q8TDW7","FAT3"
"FBLN1_P23142_MS",-0.00863627125339913,-0.0120866607353449,0.0253039108171662,-0.341301837324698,0.733137947473618,0.65774851406267,0.65275214200519,274,-0.0584510589219504,0.0411785164151521,-273.924336173479,0.999885049473507,"FBLN1","P23142","FBLN1"
"FBLN2_P98095_MS",-0.0124152517259268,-0.016430490155518,0.0276548146035736,-0.448936357155058,0.653832425223838,0.634454523851527,0.62911809354279,274,-0.0668581687692319,0.0420276653173782,-224.351126260415,0.999885049473507,"FBLN2","P98095","FBLN2"
"FBLN5_Q9UBX5_MS",-0.00187272816303616,-0.00276525374680183,0.0256466740999232,-0.0730203127212418,0.941843228643081,0.608625493727956,0.602911997286028,274,-0.0523623000684782,0.0486168437424059,-266.416481356456,0.999885049473507,"FBLN5","Q9UBX5","FBLN5"
