"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","log","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.25070.18",0.000549731088855173,0.00210266130668118,0.0172072091276491,0.031947719399298,0.974542064947563,0.0333545792771802,0.0161697717976635,225,-0.0333581652672005,0.0344576274449108,-436.681621801041,"MICAL1__seq.25070.18__ANML",NA,0.999033312328986,"Q8TDZ2","MICAL1","MICAL1","MICAL1__seq.25070.18","MICAL1"
"seq.25072.11",-0.00229173672809993,-0.0165486001002575,0.00917744236711754,-0.249714096414394,0.803038331146565,0.0293805314461481,0.0119703167635679,223,-0.0203773457664144,0.0157938723102145,-725.605314013096,"CHD1L__seq.25072.11__ANML",NA,0.999033312328986,"Q86WJ1","CHD1L","CHD1L","CHD1L__seq.25072.11","CHD1L"
"seq.25073.13",0.00343467440762919,0.0090324276677958,0.0240856305125672,0.142602636282952,0.886735125920031,0.13163936422033,0.115778895986911,219,-0.0440346197594838,0.0509039685747421,-281.793987756611,"UBE4A__seq.25073.13__ANML",NA,0.999033312328986,"Q14139","UBE4A","UBE4A","UBE4A__seq.25073.13","UBE4A"
"seq.25074.119",-0.00906501029672049,-0.027833640829499,0.0173914927046635,-0.521232446843951,0.602719773947025,0.365810675090214,0.354485865716825,224,-0.0433368764504622,0.0252068558570213,-429.800867134167,"GK5__seq.25074.119__ANML",NA,0.999033312328986,"Q6ZS86","GK5","GK5","GK5__seq.25074.119","GK5"
"seq.25075.2",-0.00122032309246374,-0.00989667525462254,0.00817503233908662,-0.149274405512638,0.881472627823983,0.0319407947088674,0.0144982865054235,222,-0.0173309197800851,0.0148902735951576,-780.664924479463,"ZBTB10__seq.25075.2__ANML",NA,0.999033312328986,"Q96DT7","ZBTB10","ZBTB10","ZBTB10__seq.25075.2","ZBTB10"
"seq.25076.2",0.0144088327401453,0.0529264582056578,0.0174568968762449,0.825394847795233,0.410058116717088,0.120139145003083,0.103845425466103,216,-0.019998841440945,0.0488165069212355,-425.818868612143,"SELENBP1__seq.25076.2__ANML",NA,0.999033312328986,"Q13228","SELENBP1","SELENBP1","SELENBP1__seq.25076.2","SELENBP1"
"seq.25078.13",0.0101631647512295,0.0948005049388128,0.0071452669331539,1.4223632015863,0.156318079756362,0.0191812340125877,0.00158807229084035,223,-0.00391771955815405,0.0242440490606131,-839.964032597202,"ATG4C__seq.25078.13__ANML",NA,0.999033312328986,"Q96DT6","ATG4C","ATG4C","ATG4C__seq.25078.13","ATG4C"
"seq.25080.16",0.00263415945810543,0.0199465350057236,0.00861404757495867,0.305798108866152,0.760044928367645,0.0637469645766487,0.0468775405149666,222,-0.0143416078015073,0.0196099267177182,-751.289624488428,"UGT2B15__seq.25080.16__ANML",NA,0.999033312328986,"P54855","UGT2B15","UGT2B15","UGT2B15__seq.25080.16","UGT2B15"
"seq.25081.6",-0.0293499034753793,-0.0926190028306142,0.0207378612159246,-1.41528112131648,0.158387337216894,0.057574675694704,0.0405940392207347,222,-0.0702181599367298,0.0115183529859712,-352.41808126966,"FAM160B1__seq.25081.6__ANML",NA,0.999033312328986,"Q5W0V3","FAM160B1","FAM160B1","FAM160B1__seq.25081.6","FAM160B1"
"seq.25082.3",-0.0175028797891828,-0.138815563173124,0.00828583267767793,-2.11238634305706,0.0357508942680116,0.0320077816640259,0.0148751760297607,226,-0.0338302476647021,-0.00117551191366354,-776.053454304325,"WASL__seq.25082.3__ANML",NA,0.976273207542515,"O00401","WASL","WASL","WASL__seq.25082.3","WASL"
"seq.25083.26",-0.00698354971958905,-0.0273061408087435,0.0136293553718841,-0.51239031700614,0.608894236607638,0.382059565378183,0.370772982097419,219,-0.0338450379051907,0.0198779384660126,-530.192491468161,"DIAPH1__seq.25083.26__ANML",NA,0.999033312328986,"O60610","DIAPH1","DIAPH1","DIAPH1__seq.25083.26","DIAPH1"
"seq.25085.37",-0.0129358321486991,-0.0637248500481517,0.0128388661269967,-1.00755253779759,0.314812532616781,0.15851691217318,0.142714412871268,213,-0.0382433413885582,0.01237167709116,-555.097950805948,"ASPSCR1__seq.25085.37__ANML",NA,0.999033312328986,"Q9BZE9","ASPSCR1","ASPSCR1","ASPSCR1__seq.25085.37","ASPSCR1"
"seq.25086.83",0.00550481851396694,0.0393635445397694,0.00934837691427937,0.58885286338407,0.556564097354355,0.0245101844158146,0.0067740059506477,220,-0.0129190149884167,0.0239286520163506,-713.657815389114,"GRAMD2B__seq.25086.83__ANML",NA,0.999033312328986,"Q96HH9","GRAMD2B","GRAMD2B","GRAMD2B__seq.25086.83","GRAMD2B"
"seq.25087.11",-0.0255817173403665,-0.0852764175763301,0.0146699383719941,-1.74381900534795,0.0825625186134916,0.468160725309483,0.458663595404295,224,-0.0544904586949143,0.00332702401418127,-507.752335026572,"DTNA__seq.25087.11__ANML",NA,0.999033312328986,"Q9Y4J8","DTNA","DTNA","DTNA__seq.25087.11","DTNA_2"
"seq.25088.42",-0.00404906670008589,-0.0140111983266758,0.0167689461145046,-0.24146220474664,0.80941779650686,0.251291520331339,0.237921726051542,224,-0.0370941357194636,0.0289960023192918,-446.53892903768,"PHKA1__seq.25088.42__ANML",NA,0.999033312328986,"P46020","PHKA1","PHKA1","PHKA1__seq.25088.42","PHKA1"
"seq.25089.21",0.0293472299918939,0.043625011925433,0.0306059207750775,0.958874271666787,0.338660533826946,0.541908238719238,0.533691346140211,223,-0.0309666020381437,0.0896610620219314,-176.067581896139,"TRIM28__seq.25089.21__ANML",NA,0.999033312328986,"Q13263","TRIM28","TRIM28","TRIM28__seq.25089.21","TRIM28"
"seq.25091.83",0.0058601442067895,0.0143606471833767,0.0178540281722552,0.328225325414018,0.743049280327779,0.575995966983217,0.56839051347619,223,-0.0293240563978802,0.0410443448114592,-416.011326034593,"SRGAP2__seq.25091.83__ANML",NA,0.999033312328986,"O75044","SRGAP2","SRGAP2","SRGAP2__seq.25091.83","SRGAP2"
"seq.25092.32",-0.00892683360005408,-0.0318135749128667,0.0173447465195134,-0.514670744251643,0.607292838731339,0.15605009887313,0.140911984054711,223,-0.0431074137521591,0.0252537465520509,-435.48006820061,"DDX1__seq.25092.32__ANML",NA,0.999033312328986,"Q92499","DDX1","DDX1","DDX1__seq.25092.32","DDX1"
"seq.25093.96",-0.00207584938549687,-0.0161359786053847,0.00736802448541123,-0.281737579673775,0.778401409784171,0.261466089649937,0.248452276251698,227,-0.0165943170024693,0.0124426182314755,-833.737557543398,"VANGL1__seq.25093.96__ANML",NA,0.999033312328986,"Q8TAA9","VANGL1","VANGL1","VANGL1__seq.25093.96","VANGL1"
