source_layer,target_layer,source_node,target_node,class_idx,importance,normalized_importance,source_tuple,target_tuple
0,1,P00492,R-HSA-9734207,1,0.13194092582815733,0.03813948080873762,"(np.str_('P00492'), '0')","('R-HSA-9734207', '1')"
0,1,P00492,R-HSA-9748787,0,0.07982629002668919,0.02307497266216625,"(np.str_('P00492'), '0')","('R-HSA-9748787', '1')"
0,1,P00492,R-HSA-9748787,1,0.13194092582815733,0.03813948080873762,"(np.str_('P00492'), '0')","('R-HSA-9748787', '1')"
0,1,P00558,R-HSA-70171,0,0.02139773078931448,0.006441358806726374,"(np.str_('P00558'), '0')","('R-HSA-70171', '1')"
0,1,P00558,R-HSA-70171,1,0.005601623114974548,0.0016862565820120452,"(np.str_('P00558'), '0')","('R-HSA-70171', '1')"
0,1,P00558,R-HSA-70263,0,0.02139773078931448,0.006441358806726374,"(np.str_('P00558'), '0')","('R-HSA-70263', '1')"
0,1,P00558,R-HSA-70263,1,0.005601623114974548,0.0016862565820120452,"(np.str_('P00558'), '0')","('R-HSA-70263', '1')"
0,1,P00558,R-HSA-9635486,0,0.02139773078931448,0.006441358806726374,"(np.str_('P00558'), '0')","('R-HSA-9635486', '1')"
0,1,P00558,R-HSA-9635486,1,0.005601623114974548,0.0016862565820120452,"(np.str_('P00558'), '0')","('R-HSA-9635486', '1')"
0,1,P01570,R-HSA-909733,0,0.021139211331804592,0.005410750778525973,"(np.str_('P01570'), '0')","('R-HSA-909733', '1')"
0,1,P01570,R-HSA-909733,1,0.03740374252606088,0.00957378805746544,"(np.str_('P01570'), '0')","('R-HSA-909733', '1')"
0,1,P01570,R-HSA-933541,0,0.021139211331804592,0.005410750778525973,"(np.str_('P01570'), '0')","('R-HSA-933541', '1')"
0,1,P01570,R-HSA-933541,1,0.03740374252606088,0.00957378805746544,"(np.str_('P01570'), '0')","('R-HSA-933541', '1')"
0,1,P01570,R-HSA-9679506,0,0.021139211331804592,0.005410750778525973,"(np.str_('P01570'), '0')","('R-HSA-9679506', '1')"
0,1,P01570,R-HSA-9679506,1,0.03740374252606088,0.00957378805746544,"(np.str_('P01570'), '0')","('R-HSA-9679506', '1')"
0,1,P01570,R-HSA-9820952,0,0.021139211331804592,0.005410750778525973,"(np.str_('P01570'), '0')","('R-HSA-9820952', '1')"
0,1,P01570,R-HSA-9820952,1,0.03740374252606088,0.00957378805746544,"(np.str_('P01570'), '0')","('R-HSA-9820952', '1')"
