"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.6572.10","seq_6572_10",-0.00105998133597934,-0.00105998133597934,0.0143627471330214,-0.073800737850654,0.941185673401351,0.272320386337092,0.267370184883603,882,-0.0292491313625488,0.0271291686905901,0.987371656874239,"Q86VH4","LRRTM4","LRRTM4","LRRTM4__seq.6572.10","LRRTM4_1"
"seq.6574.11","seq_6574_11",-0.0291633973966734,-0.0291633973966734,0.0380132263832585,-0.76719079571518,0.443172932634404,0.0206385648952159,0.0139913153356812,884,-0.103770100436664,0.0454433056433174,0.813902744656051,"O60667","FCMR","FCMR","FCMR__seq.6574.11","FCMR"
"seq.6575.79","seq_6575_79",-0.00374879510911821,-0.00374879510911821,0.0126963536042873,-0.295265493224157,0.767860486837932,0.240475606818673,0.235314625664553,883,-0.028667346989788,0.0211697567715516,0.942755352639625,"Q8N6G6","ADAMTSL1","ADAMTSL1","ADAMTSL1__seq.6575.79","ADAMTSL1_2"
"seq.6576.1","seq_6576_1",-0.0455206214394283,-0.0455206214394283,0.022907931977255,-1.98711177790405,0.0472179253001584,0.118933426537385,0.112960093835943,885,-0.09048083116805,-0.000560411710806528,0.394986598731585,"Q93070","ART4","ART4","ART4__seq.6576.1","ART4"
"seq.6577.64","seq_6577_64",-0.0322920743219892,-0.0322920743219892,0.0164476187263138,-1.96332823974857,0.0499208347606879,0.184508487633968,0.178979731617927,885,-0.0645729623657333,-1.11862782451108e-05,0.40228243636818,"Q16363","LAMA4","LAMA4","LAMA4__seq.6577.64","LAMA4"
"seq.6578.29","seq_6578_29",-0.00644195699921369,-0.00644195699921369,0.0157513016572893,-0.408979342747367,0.68265422003313,0.159100985346436,0.153374090808501,881,-0.037356411870642,0.0244724978722146,0.916045889763705,"Q9H2S6","TNMD","TNMD","TNMD__seq.6578.29","TNMD"
"seq.6580.29","seq_6580_29",0.025024954195871,0.025024954195871,0.103125576137339,0.242664866788658,0.808321126103152,0.460025320639258,0.456372729798036,887,-0.177373639413992,0.227423547805734,0.954450620404226,"P20742","PZP","PZP","PZP__seq.6580.29","PZP"
"seq.6583.67","seq_6583_67",0.0220754653186443,0.0220754653186443,0.0203360673403928,1.0855326621975,0.277981070884838,0.0906518351395861,0.0844937211563328,886,-0.0178370174133051,0.0619879480505936,0.705891637386005,"Q9UK55","SERPINA10","SERPINA10","SERPINA10__seq.6583.67","SERPINA10_2"
"seq.6584.1","seq_6584_1",-0.049569254731655,-0.049569254731655,0.0236672150985119,-2.09442701751469,0.0365077737605511,0.0398263915652582,0.033272305500857,879,-0.0960201042668026,-0.00311840519650746,0.362408539472433,"P23327","HRC","HRC","HRC__seq.6584.1","HRC"
"seq.6586.19","seq_6586_19",-0.110501613271104,-0.110501613271104,0.0244672053382831,-4.51631527766704,7.14723303799876e-06,0.0827589370499205,0.076519201927811,882,-0.158522351617603,-0.0624808749246058,0.00089771711520381,"O75078","ADAM11","ADAM11","ADAM11__seq.6586.19","ADAM11"
"seq.6587.6","seq_6587_6",-0.0302904253334481,-0.0302904253334481,0.0253279683539391,-1.19592795245803,0.232044636025929,0.155296261990733,0.149575920649813,886,-0.0800002380834302,0.0194193874165339,0.669724976149617,"Q96NI6","LRFN5","LRFN5","LRFN5__seq.6587.6","LRFN5"
"seq.6590.54","seq_6590_54",0.0124609585789058,0.0124609585789058,0.0170505048388571,0.730826371223211,0.465078210574828,0.208137819668456,0.20278136749034,887,-0.0210030794316739,0.0459249965894854,0.823953006818488,"O60462","NRP2","NRP2","NRP2__seq.6590.54","NRP2_2"
"seq.6593.5","seq_6593_5",-0.00952293004418757,-0.00952293004418757,0.0144769360892175,-0.657800102556254,0.510838225866657,0.0343033575400381,0.0277339926253445,882,-0.0379361938553816,0.0188903337670065,0.844989344319233,"Q14435","GALNT3","GALNT3","GALNT3__seq.6593.5","GALNT3"
"seq.6594.64","seq_6594_64",-0.0345177570833671,-0.0345177570833671,0.0163248810396196,-2.11442625521095,0.0347582812324154,0.158559019767538,0.152847881892657,884,-0.0665578038714627,-0.00247771029527148,0.358152869558906,"Q9NPB0","SAYSD1","SAYSD1","SAYSD1__seq.6594.64","SAYSD1"
