"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.21925.15",0.0029338201906953,0.011347728848435,0.00804789871948594,0.36454486977971,0.715512686638066,0.017057592148566,0.0123507649760931,1253,-0.0128550227997592,0.0187226631811498,-1587.66645391655,"TGF.b1__seq.21925.15__ANML",0.86428617512159,"P01137","TGFB1","TGFB1","TGFB1__seq.21925.15","TGFB1_2"
"seq.21926.24",0.0617487744938827,0.055907824163688,0.0214238475993144,2.88224485390097,0.00401556733619025,0.616675324445444,0.614848519001975,1259,0.0197183987197874,0.103779150267978,889.553670547776,"UB2D1._PolyUbiquitin_K48__seq.21926.24__ANML",0.0419315609146767,"P51668","UBE2D1|UBB","UBE2D1","UBE2D1__seq.21926.24","UBE2D1_2"
"seq.21929.53",0.032950755384556,0.0209947816013356,0.0237245009708398,1.38889140071087,0.165111404697871,0.767207231639113,0.766097814156853,1259,-0.0135931572452741,0.0794946680143861,1147.82687438235,"UB2D3._PolyUbiquitin_K48__seq.21929.53__ANML",0.40595227243469,"P61077","UBE2D3|UBB","UBE2D3","UBE2D3__seq.21929.53","UBE2D3_2"
"seq.21931.16",-0.000786273252808677,-0.00194729699483743,0.0100435242909641,-0.078286588455416,0.937612565247545,0.373345802996097,0.370349846675759,1255,-0.0204902219839374,0.01891767547832,-1033.05423011597,"UB2L3._PolyUbiquitin_K48__seq.21931.16__ANML",0.971070164604544,"P68036","UBE2L3|UBB","UBE2L3","UBE2L3__seq.21931.16","UBE2L3_1"
"seq.21931.27",-0.00480909575817898,-0.0149038465268141,0.00958681952002106,-0.501636204596914,0.616011713441087,0.108444779943899,0.104168735723006,1251,-0.0236171135314962,0.0139989220151383,-1149.86871689879,"UB2L3._PolyUbiquitin_K48__seq.21931.27__ANML",0.810739893702205,"P68036","UBE2L3|UBB","UBE2L3","UBE2L3__seq.21931.27","UBE2L3_2"
"seq.21933.7",0.0917842120023751,0.0677684450638433,0.024298305279455,3.77739150721682,0.000165879209509537,0.672090209866353,0.67052749442489,1259,0.0441145813800092,0.139453842624741,1208.33735972399,"UBA7__seq.21933.7__ANML",0.0052312988799869,"P41226","UBA7","UBA7","UBA7__seq.21933.7","UBA7"
"seq.21935.16",0.00790195080634794,0.0094989190579467,0.0104987253995149,0.752658109022747,0.451796202539906,0.837831679093586,0.837058221283222,1258,-0.0126949895506904,0.0284988911633863,-916.527621268174,"UBE2H__seq.21935.16__ANML",0.696401777200364,"P62256","UBE2H","UBE2H","UBE2H__seq.21935.16","UBE2H"
"seq.21939.6",0.0313994369735517,0.0232853077721096,0.0161808861998581,1.94052640786925,0.0525387526922831,0.853307405086981,0.852608314086601,1259,-0.000345034890581256,0.0631439088376848,178.887117917877,"ULA1._UBA3__seq.21939.6__ANML",0.203788333529773,"Q13564","NAE1|UBA3","NAE1","NAE1__seq.21939.6","NAE1_2"
"seq.21940.12",-0.0539146523760734,-0.0751213628976095,0.0221507848391559,-2.43398384154626,0.0150727359424142,0.0388548828617394,0.0342487561022911,1252,-0.0973714037865101,-0.0104579009656367,956.8117846883,"WN10B__seq.21940.12__ANML",0.0950691613337554,"O00744","WNT10B","WNT10B","WNT10B__seq.21940.12","WNT10B"
"seq.21942.14",-0.0201949916612489,-0.0247257389207591,0.0252247493158156,-0.800602273917818,0.423514190711805,0.0328992971918642,0.0282534971783743,1249,-0.069682547797265,0.0292925644747672,1286.72508746684,"WNT16__seq.21942.14__ANML",0.676897955097741,"Q9UBV4","WNT16","WNT16","WNT16__seq.21942.14","WNT16_1"
"seq.21943.170",0.00412291918186727,0.0121086935973627,0.00970498983655748,0.424824677954504,0.671037599760252,0.178067750822497,0.174122476026445,1250,-0.0149169472064476,0.0231627855701821,-1115.95549497374,"WNT16__seq.21943.170__ANML",0.839988281888499,"Q9UBV4","WNT16","WNT16","WNT16__seq.21943.170","WNT16_2"
"seq.21945.4",0.0445892936738422,0.0563114110522168,0.021750025114104,2.0500801005939,0.0405635261469196,0.232397734759661,0.228736674671075,1258,0.00191897389769224,0.0872596134499922,925.422311104844,"WNT5B__seq.21945.4__ANML",0.174027250719443,"Q9H1J7","WNT5B","WNT5B","WNT5B__seq.21945.4","WNT5B"
"seq.21946.79",0.00829766988462092,0.0210517850296069,0.0107801023364113,0.769720882574036,0.441610676548146,0.243235557348995,0.239608890690924,1252,-0.0128513878491882,0.0294467276184301,-853.385286532436,"IL.6._IL.6_sRa_Complex__seq.21946.79__ANML",0.688304188843228,"P05231","IL6|IL6R","IL6","IL6__seq.21946.79","IL6_1"
"seq.21949.4",-0.0395694624902767,-0.0739897866731977,0.0162408808404134,-2.43641110843034,0.0149722235351027,0.0650238126991675,0.0605502424250008,1254,-0.0714317570894123,-0.007707167891141,181.315346722835,"AB1IP__seq.21949.4__ANML",0.0948457812636721,"Q7Z5R6","APBB1IP","APBB1IP","APBB1IP__seq.21949.4","APBB1IP"
"seq.21951.32",0.00458449681521813,0.0102528563135081,0.0101235881611008,0.452852955124523,0.650733029060415,0.47981377246799,0.477322856773503,1253,-0.0152765563052234,0.0244455499356597,-1008.77513198642,"ARNT__seq.21951.32__ANML",0.828322118271502,"P27540","ARNT","ARNT","ARNT__seq.21951.32","ARNT"
"seq.21955.36",0.00996452943014845,0.0084903679774136,0.0145341023751407,0.685596480123321,0.493093819385729,0.843757489546127,0.843012886636895,1259,-0.0185491995596845,0.0384782584199814,-92.8797986479053,"BAT3__seq.21955.36__ANML",0.729822932593465,"P46379","BAG6","BAG6","BAG6__seq.21955.36","BAG6"
"seq.21957.12",-0.0112893553954751,-0.035635734160782,0.00968349836593707,-1.16583438844652,0.243903100393828,0.051376268966441,0.0468373994399647,1254,-0.0302869997176955,0.00770828892674516,-1120.97898045215,"BCAP__seq.21957.12__ANML",0.499250937445641,"Q6ZUJ8","PIK3AP1","PIK3AP1","PIK3AP1__seq.21957.12","PIK3AP1"
"seq.21958.4",0.037667353168241,0.0283351563085432,0.0162075295431302,2.32406506296987,0.0202805077262275,0.84856090635931,0.847839195031396,1259,0.00587061106066019,0.0694640952758218,183.052864147475,"ABR__seq.21958.4__ANML",0.112565549397263,"Q12979","ABR","ABR","ABR__seq.21958.4","ABR"
"seq.21961.14",-0.0199705357322437,-0.0158620563525335,0.0231022860995602,-0.86443980678708,0.38751113020165,0.657051224121742,0.655415538386234,1258,-0.0652937907747906,0.0253527193103033,1079.46444469394,"CD2AP__seq.21961.14__ANML",0.645556502062434,"Q9Y5K6","CD2AP","CD2AP","CD2AP__seq.21961.14","CD2AP"
"seq.21963.48",0.0780308582776177,0.0486170946722751,0.024024196601238,3.24801114363161,0.00119280640047134,0.771741833997825,0.770654027011317,1259,0.0308989877702356,0.125162728785,1179.61158641038,"DAB2__seq.21963.48__ANML",0.0198392571402596,"P98082","DAB2","DAB2","DAB2__seq.21963.48","DAB2"
"seq.21967.20",0.0286584181944288,0.0378116798645601,0.0215514559225434,1.32976715343168,0.183836441570105,0.179372167041555,0.175451970387295,1256,-0.0136224031489281,0.0709392395377857,897.636121267253,"DHI1__seq.21967.20__ANML",0.426920139253496,"P28845","HSD11B1","HSD11B1","HSD11B1__seq.21967.20","HSD11B1"
