"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label","Gender"
"seq.21238.40",-0.0708953497273501,-0.107618831403142,0.0372845142487954,-1.90146904568136,0.0583170480855707,0.166964704427872,0.157604757286612,267,-0.144304405625352,0.00251370617065172,114.487605545688,"CK5P3__seq.21238.40__ANML",0.063539470302189,"Q96JB5","CDK5RAP3","CDK5RAP3","CDK5RAP3__seq.21238.40","CDK5RAP3","male"
"seq.21497.32",0.0492203474180749,0.0813674961920022,0.0194743352386073,2.52744685839119,0.0120693078098745,0.730964375857588,0.727930139495079,266,0.0108768940189663,0.0875638008171834,-237.673717351156,"HYOU1__seq.21497.32__ANML",0.0159951760851898,"Q9Y4L1","HYOU1","HYOU1","HYOU1__seq.21497.32","HYOU1","male"
"seq.21508.7",-0.216933517902794,-0.387126407071713,0.0292765001053919,-7.40981733205334,1.66855001541283e-12,0.290167354486355,0.282191706783955,267,-0.274575685865436,-0.159291349940153,-16.5641586239994,"SIA8A__seq.21508.7__ANML",1.21804151125136e-11,"Q92185","ST8SIA1","ST8SIA1","ST8SIA1__seq.21508.7","ST8SIA1_1","male"
"seq.21726.73",0.0892325147885326,0.179360777035114,0.0282497930274056,3.15869623193227,0.00176760697321128,0.163552442156972,0.154118823083554,266,0.0336108666444981,0.144854162932567,-36.9692232473314,"SIA7D__seq.21726.73__ANML",0.00352579519391183,"Q9H4F1","ST6GALNAC4","ST6GALNAC4","ST6GALNAC4__seq.21726.73","ST6GALNAC4","male"
"seq.21802.53",-0.0609596670055068,-0.0678769142538351,0.0193831172500165,-3.14498778597932,0.00184867506317715,0.878864444894604,0.877503371241734,267,-0.0991228660266649,-0.0227964679843487,-240.07558619037,"NEIL1__seq.21802.53__ANML",0.00352579519391183,"Q96FI4","NEIL1","NEIL1","NEIL1__seq.21802.53","NEIL1","male"
"seq.21861.8",-0.111612215221144,-0.280222962408186,0.0229360800905344,-4.8662288752299,1.94747784691612e-06,0.137641683901357,0.12795226461935,267,-0.156770802354983,-0.0664536280873052,-148.852228434775,"PSB10__seq.21861.8__ANML",8.88536767655479e-06,"P40306","PSMB10","PSMB10","PSMB10__seq.21861.8","PSMB10","male"
"seq.21916.82",0.0723864395377712,0.139849510402971,0.0174466290720852,4.14902152379628,4.4971132123161e-05,0.705081187225504,0.701755035201732,266,0.0380353820767275,0.106737496998815,-297.047259231478,"OTUL__seq.21916.82__ANML",0.000142734462825685,"Q96BN8","OTULIN","OTULIN","OTULIN__seq.21916.82","OTULIN","male"
"seq.21940.12",-0.087599446821671,-0.140836861188621,0.037628872108516,-2.32798491990532,0.0206659559502818,0.058663856256373,0.0480072206668225,265,-0.161689050919076,-0.0135098427242661,115.494013138895,"WN10B__seq.21940.12__ANML",0.0255697421079758,"O00744","WNT10B","WNT10B","WNT10B__seq.21940.12","WNT10B","male"
"seq.22055.31",-0.189102538275966,-0.259312877381734,0.0372297028453507,-5.07934589382792,7.11978059904746e-07,0.322205609537139,0.314589942228568,267,-0.262403676625345,-0.115801399926587,113.690233253965,"FOXO1A__seq.22055.31__ANML",3.46495989153643e-06,"Q12778","FOXO1","FOXO1","FOXO1__seq.22055.31","FOXO1","male"
"seq.22088.3",-0.0835150462846814,-0.188673578673494,0.0250514401010509,-3.33374232969457,0.000978635714868429,0.168561621914557,0.159184497349683,266,-0.132839385951533,-0.0341907066178298,-101.683434108051,"BTG1__seq.22088.3__ANML",0.00216486082379986,"P62324","BTG1","BTG1","BTG1__seq.22088.3","BTG1","male"
"seq.22466.27",-0.0581957082716183,-0.141919843053256,0.0212333731185586,-2.74076605477033,0.00654806705060982,0.311433943048975,0.30360932876544,264,-0.100004018159823,-0.0163873983834135,-191.65176773909,"HES5__seq.22466.27__ANML",0.00919247874412532,"Q5TA89","HES5","HES5","HES5__seq.22466.27","HES5","male"
"seq.22472.4",-0.331675039001149,-0.213891017712731,0.0932257887107168,-3.55776061096516,0.000442467743068617,0.0600667189593694,0.0495056708577892,267,-0.515226233712541,-0.148123844289757,611.201507446329,"HTF4__seq.22472.4__ANML",0.001067569032132,"Q99081","TCF12","TCF12","TCF12__seq.22472.4","TCF12","male"
"seq.22537.5",-0.0733903480479327,-0.178743194040215,0.0247742551696893,-2.96236345130263,0.00332792238531657,0.0532229424393082,0.0425849979723341,267,-0.122168097181189,-0.0246125989146758,-107.067391279807,"PPTC7__seq.22537.5__ANML",0.00564972870065371,"Q8NI37","PPTC7","PPTC7","PPTC7__seq.22537.5","PPTC7","male"
"seq.22782.80",1.22191560669962,0.851185626228678,0.0447549669028874,27.3023463373578,3.00529505938079e-79,0.747236710839232,0.74439667388237,267,1.13379806156643,1.31003315183281,213.470007556619,"SPC25__seq.22782.80__ANML",2.19386539334798e-77,"Q9HBM1","SPC25","SPC25","SPC25__seq.22782.80","SPC25","male"
"seq.22858.3",-0.0481397740314812,-0.105764132936234,0.0233515779203422,-2.06152124690235,0.0402213299185308,0.315510839466883,0.307819950022691,267,-0.0941164301150811,-0.00216311794788139,-139.121519113433,"MK06__seq.22858.3__ANML",0.0451716474469653,"Q16659","MAPK6","MAPK6","MAPK6__seq.22858.3","MAPK6","male"
"seq.23253.5",-0.0810570024021245,-0.1186733976368,0.0280941828303319,-2.88518811497913,0.00423353447815719,0.56183952652755,0.556879219280692,265,-0.136373220154724,-0.0257407846495246,-39.8548503414375,"CMTD1__seq.23253.5__ANML",0.00684076246956806,"Q86VU5","COMTD1","COMTD1","COMTD1__seq.23253.5","COMTD1","male"
"seq.23285.51",-0.164707253185629,-0.176246660267252,0.0533215641562899,-3.08894264059582,0.00222317087898323,0.162579957846315,0.15306382100366,264,-0.269696906290793,-0.0597176000804664,302.322213792695,"KCTD2__seq.23285.51__ANML",0.0040572868541444,"Q14681","KCTD2","KCTD2","KCTD2__seq.23285.51","KCTD2","male"
"seq.23631.1",-0.0874683352736932,-0.232250403011338,0.0205170491067619,-4.26320251116745,2.80137063241624e-05,0.230686986479659,0.222010523921159,266,-0.127864811285503,-0.0470718592618832,-208.969248745106,"GALK2__seq.23631.1__ANML",0.000100645524444652,"Q01415","GALK2","GALK2","GALK2__seq.23631.1","GALK2","male"
"seq.24720.10",-0.143935341764037,-0.100652399455995,0.0394915860654776,-3.64470906601194,0.000321658752778316,0.801670229364965,0.799441804975807,267,-0.221689876250833,-0.066180807277241,145.657789973636,"ANR16__seq.24720.10__ANML",0.000809692722510934,"Q6P6B7","ANKRD16","ANKRD16","ANKRD16__seq.24720.10","ANKRD16","male"
"seq.24915.123",-0.0632240127246587,-0.136499206103938,0.0273853145465653,-2.30868309426039,0.0217252319886779,0.0909307154148122,0.0807164537902595,267,-0.117142646957586,-0.00930537849173102,-52.7579678310928,"CAN13__seq.24915.123__ANML",0.0264323655862248,"Q6MZZ7","CAPN13","CAPN13","CAPN13__seq.24915.123","CAPN13","male"
"seq.25255.4",-0.0959279713624805,-0.107572729311408,0.0429970362563335,-2.23103682752902,0.0265093617013656,0.395416520797915,0.388623447997892,267,-0.180584346846615,-0.0112715958783457,191.751394523722,"TMUB1__seq.25255.4__ANML",0.0317243181016343,"Q9BVT8","TMUB1","TMUB1","TMUB1__seq.25255.4","TMUB1","male"
"seq.25262.6",-0.206879779915264,-0.316659087663963,0.0378298131111146,-5.46869685313039,1.04186976581338e-07,0.12807005792628,0.118273092285002,267,-0.28136246853912,-0.132397091291407,122.357134194828,"ZW10__seq.25262.6__ANML",5.85049945418285e-07,"O43264","ZW10","ZW10","ZW10__seq.25262.6","ZW10","male"
"seq.25941.4",0.073211337265594,0.105227250724838,0.0425141799132564,1.72204514858267,0.086219435674194,0.0289697510787875,0.0180592988437177,267,-0.0104943478583789,0.156917022389567,185.630304653491,"OA_synthetase__seq.25941.4__ANML",0.0899145543459452,"Q15646","OASL","OASL","OASL__seq.25941.4","OASL","male"
"seq.25951.17",-0.0952394712331757,-0.201679359665813,0.0253866501472636,-3.75155724290948,0.000215733192164407,0.249809250615087,0.241348452689693,266,-0.145223813443292,-0.0452551290230595,-94.5056805812962,"PRAME__seq.25951.17__ANML",0.000605712424153912,"P78395","PRAME","PRAME","PRAME__seq.25951.17","PRAME","male"
"seq.2797.56",0.121695523380407,0.144330823210856,0.0477402377602391,2.54911850233311,0.0113615366561529,0.1684680371483,0.159089857116138,266,0.0276987034944515,0.215692343266363,247.243995200205,"Apo_B__seq.2797.56__ANML",0.015359114368503,"P04114","APOB","APOB","APOB__seq.2797.56","APOB","male"
"seq.2859.69",-0.087086279456249,-0.139500572577856,0.0205324208187349,-4.24140339929068,3.06870011554108e-05,0.71949089094247,0.716327254374152,266,-0.127513021174923,-0.046659537737575,-208.470265401465,"HDAC8__seq.2859.69__ANML",0.000101825049288409,"Q9BY41","HDAC8","HDAC8","HDAC8__seq.2859.69","HDAC8","male"
"seq.2943.5",0.0629367521988028,0.108736505545262,0.0337417979895457,1.86524595453694,0.0632437380064883,0.11622052897182,0.106290422555773,267,-0.00349708996379623,0.129370594361402,60.3739420267982,"Cytochrome_P450_3A4__seq.2943.5__ANML",0.0678940128599066,"P08684","CYP3A4","CYP3A4","CYP3A4__seq.2943.5","CYP3A4_1","male"
"seq.3480.7",0.163703710343398,0.131955344158486,0.0542351416228688,3.01840661690779,0.00278771396165959,0.5043913923264,0.498801821563164,266,0.0569189292491585,0.270488491437638,316.060951970413,"DUS3__seq.3480.7__ANML",0.00496349071222316,"P51452","DUSP3","DUSP3","DUSP3__seq.3480.7","DUSP3","male"
"seq.4337.49",-0.449061980608336,-0.206932073426115,0.128092961773143,-3.50575062354822,0.000533888515874603,0.0939358283592628,0.0837553320486928,267,-0.70126275565931,-0.196861205557362,783.412185240641,"CRP__seq.4337.49__ANML",0.00121793317683894,"P02741","CRP","CRP","CRP__seq.4337.49","CRP","male"
"seq.5015.15",0.104573496205712,0.115622354936757,0.0504772133965199,2.0716970919976,0.0392539551966928,0.189978610401451,0.180877246473378,267,0.00518948505635926,0.203957507355065,278.683221962738,"PAFAH__seq.5015.15__ANML",0.0447740426462277,"Q13093","PLA2G7","PLA2G7","PLA2G7__seq.5015.15","PLA2G7","male"
"seq.5383.14",0.108279959878295,0.079747580452191,0.0442285201739077,2.44819314443566,0.0150038891415966,0.724946225407218,0.72184411516745,266,0.0211974391441475,0.195362480612443,204.901579090995,"BAFF_Receptor__seq.5383.14__ANML",0.0192155071462553,"Q96RJ3","TNFRSF13C","TNFRSF13C","TNFRSF13C__seq.5383.14","TNFRSF13C","male"
"seq.5494.52",-0.110894272288695,-0.292464679629551,0.0212688434799447,-5.21393052674735,3.71758948437167e-07,0.185123756280184,0.175933422704397,266,-0.152770973025029,-0.0690175715523616,-189.776692545073,"RUXF__seq.5494.52__ANML",1.9384573739938e-06,"P62306","SNRPF","SNRPF","SNRPF__seq.5494.52","SNRPF","male"
"seq.5744.12",0.319024914342068,0.331044938773102,0.0484307450461219,6.58723944961516,2.3733114211949e-10,0.34320115164544,0.335821389304377,267,0.223670171444016,0.41437965724012,256.251373490021,"CA056__seq.5744.12__ANML",1.57501576133844e-09,"Q9BUN1","MENT","MENT","MENT__seq.5744.12","MENT","male"
"seq.6378.2",0.180681650827685,0.203584809619021,0.050880964967476,3.55106572650853,0.000453351232823179,0.145250810370825,0.135646886891846,267,0.0805026978039804,0.28086060385139,283.00126540933,"CEI__seq.6378.2__ANML",0.001067569032132,"Q86SI9","C5orf38","C5orf38","C5orf38__seq.6378.2","C5orf38","male"
"seq.6442.6",0.0585706709161435,0.0996879839325404,0.0360325978916475,1.62549120361151,0.105237673352193,0.0219033814409967,0.0109135317942662,267,-0.0123735011100117,0.129514842942299,95.9761120066502,"BAGE3__seq.6442.6__ANML",0.108202114855071,"Q86Y29","BAGE3","BAGE3","BAGE3__seq.6442.6","BAGE3","male"
"seq.7203.125",-0.013711260947929,-0.0528205097716517,0.0160532860662828,-0.854109301442471,0.393815858406226,0.0135555904994351,0.00238829529754192,265,-0.045319479384115,0.0178969574882571,-342.04874999318,"RFNG__seq.7203.125__ANML",0.393815858406226,"Q9Y644","RFNG","RFNG","RFNG__seq.7203.125","RFNG","male"
"seq.7223.60",-0.793031401739518,-0.609809351432702,0.0608870799179182,-13.0246253032434,2.36438643638056e-30,0.429936726598546,0.423531521279429,267,-0.912911280644068,-0.673151522834968,380.307671948242,"S100A13__seq.7223.60__ANML",5.75334032852602e-29,"Q99584","S100A13","S100A13","S100A13__seq.7223.60","S100A13","male"
"seq.7965.25",-0.222715361884505,-0.229029040469188,0.0578837849517275,-3.84762955757367,0.000149256671456337,0.0785750213413954,0.0682219316935458,267,-0.336682087500263,-0.108748636268747,352.891302708975,"HBAT__seq.7965.25__ANML",0.000435829480652505,"P09105","HBQ1","HBQ1","HBQ1__seq.7965.25","HBQ1_2","male"
"seq.8760.10",-0.23364255046301,-0.269348868978738,0.0511254815419545,-4.56998239266029,7.46276474798255e-06,0.0966279747973342,0.086477727323147,267,-0.334302929388206,-0.132982171537815,285.599694072144,"DCNL5__seq.8760.10__ANML",3.02656570334848e-05,"Q9BTE7","DCUN1D5","DCUN1D5","DCUN1D5__seq.8760.10","DCUN1D5","male"
"seq.8922.4",-0.173350486488297,-0.187762519190183,0.055217452475189,-3.13941478133546,0.00188364400770632,0.0714776507503209,0.0610055941798358,266,-0.282069361348916,-0.0646316116276773,325.104354347359,"TMCC3_region_1__seq.8922.4__ANML",0.00352579519391183,"Q9ULS5","TMCC3","TMCC3","TMCC3__seq.8922.4","TMCC3_2","male"
"seq.8967.6",-0.103057045092936,-0.15606171173758,0.0358311548447853,-2.87618541850974,0.00435110088519294,0.237757835872575,0.2291611197358,266,-0.173605805766603,-0.032508284419269,91.7857012501458,"DUS26__seq.8967.6__ANML",0.00684076246956806,"Q9BV47","DUSP26","DUSP26","DUSP26__seq.8967.6","DUSP26","male"
"seq.9199.6",-0.0912102891827586,-0.173455323634374,0.0320649918228065,-2.84454428327297,0.00479315361042965,0.035488080745972,0.0246101267694229,266,-0.154343767406095,-0.0280768109594217,32.3292354078129,"UB2G2__seq.9199.6__ANML",0.0071408206849258,"P60604","UBE2G2","UBE2G2","UBE2G2__seq.9199.6","UBE2G2","male"
"seq.9314.9",-0.100446704810341,-0.124105780223252,0.0458286711020847,-2.19178742029401,0.0292586134007126,0.166217957674303,0.156849620120082,267,-0.190678253925206,-0.0102151556954757,226.319456865994,"PSG5__seq.9314.9__ANML",0.0339028377500321,"Q15238","PSG5","PSG5","PSG5__seq.9314.9","PSG5","male"
