"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label","Gender"
"seq.23285.51",-0.216587307649479,-0.238836285097399,0.0466950271905865,-4.63833775629843,4.99799155708733e-06,0.11907046731227,0.111387942317901,344,-0.308431011205246,-0.124743604093712,400.019052747213,"KCTD2__seq.23285.51__ANML",1.40328224487452e-05,"Q14681","KCTD2","KCTD2","KCTD2__seq.23285.51","KCTD2","female"
"seq.23631.1",-0.0555866753215433,-0.178203448201978,0.0160948083193665,-3.45370222611829,0.000622215676088714,0.115277876879728,0.107539782508414,343,-0.0872436227146291,-0.0239297279284574,-340.452294115432,"GALK2__seq.23631.1__ANML",0.00103231237169264,"Q01415","GALK2","GALK2","GALK2__seq.23631.1","GALK2","female"
"seq.24720.10",-0.0495823254889679,-0.0377528569907729,0.032929222820617,-1.50572413321351,0.133058332100949,0.791519492125078,0.789696047449787,343,-0.114350954840902,0.0151863038629662,156.019811855169,"ANR16__seq.24720.10__ANML",0.133058332100949,"Q6P6B7","ANKRD16","ANKRD16","ANKRD16__seq.24720.10","ANKRD16","female"
"seq.24915.123",-0.0902360068733039,-0.16224860281781,0.0296815927521702,-3.04013358133236,0.00254603278393158,0.0536715582537446,0.04541869393619,344,-0.14861625782951,-0.0318557559170976,84.6540794294183,"CAN13__seq.24915.123__ANML",0.00320448953839664,"Q6MZZ7","CAPN13","CAPN13","CAPN13__seq.24915.123","CAPN13","female"
"seq.25255.4",-0.0918881262418944,-0.130205766899109,0.0315119301530892,-2.91597898940146,0.00377905779668953,0.338687520047597,0.332903445878917,343,-0.153869076577947,-0.0299071759058417,125.162417095705,"TMUB1__seq.25255.4__ANML",0.00459785365263893,"Q9BVT8","TMUB1","TMUB1","TMUB1__seq.25255.4","TMUB1","female"
"seq.25262.6",-0.281385199493028,-0.431056995021621,0.032215284035501,-8.73452486661124,1.0855917551278e-16,0.190799545764344,0.183742565058801,344,-0.34474892738733,-0.218021471598725,141.666166640553,"ZW10__seq.25262.6__ANML",7.20438164766629e-16,"O43264","ZW10","ZW10","ZW10__seq.25262.6","ZW10","female"
"seq.25941.4",0.129977344972053,0.17358780439655,0.0397741431996465,3.26788547825232,0.00119282024147577,0.0625026297180011,0.054326780558565,344,0.0517462176551516,0.208208472288955,288.366285880746,"OA_synthetase__seq.25941.4__ANML",0.00164294108731569,"Q15646","OASL","OASL","OASL__seq.25941.4","OASL","female"
"seq.25951.17",-0.0524952609685641,-0.116860599785605,0.0237597316118109,-2.20942146259215,0.0278056024708493,0.0729928812772045,0.0648849472942062,343,-0.0992283788028336,-0.00576214313429452,-70.7615511276489,"PRAME__seq.25951.17__ANML",0.0284547578646259,"P78395","PRAME","PRAME","PRAME__seq.25951.17","PRAME","female"
"seq.2797.56",0.141859284404925,0.18468146808512,0.0385832413921119,3.6767072772151,0.000274019245522318,0.161710894574721,0.154400233771593,344,0.0659705228420642,0.217748045967786,267.20857391551,"Apo_B__seq.2797.56__ANML",0.00050008512307823,"P04114","APOB","APOB","APOB__seq.2797.56","APOB","female"
"seq.2859.69",-0.0897824241520821,-0.164794251022848,0.0217760739041034,-4.12298491213164,4.69280161306528e-05,0.469206106695955,0.464577090184583,344,-0.132613436287356,-0.0469514120168084,-130.907728501336,"HDAC8__seq.2859.69__ANML",0.000103810459925383,"Q9BY41","HDAC8","HDAC8","HDAC8__seq.2859.69","HDAC8","female"
